idPhanLoai,idPhanLoaiCha,tenKhoaHoc,tenTiengViet,tenTiengAnh,bacPhanLoai_vi,bacPhanLoai_en,ghiChu
299,114.0,Esomus metallicus,Cá Lòng tong sắt,Metallic flying barb,Loài,Species,
300,114.0,Rasbora aurotaenia,Cá Lòng tong đuôi vàng,Pale rasbora,Loài,Species,
301,114.0,Rasbora dusonensis,Cá Lòng tong,Yellow-tailed rasbora,Loài,Species,
302,114.0,Rasbora lateristriata,Cá Lòng tong kẻ,Speckled rasbora,Loài,Species,
303,114.0,Rasbora myersi,Cá Lòng tong lưng thấp,Myers' rasbora,Loài,Species,
304,114.0,Rasbora paviana,Cá Lòng tong vạch,Angular rasbora,Loài,Species,
305,114.0,Rasbora sumatrana,Cá Lòng tong he,Sumatra rasbora,Loài,Species,
306,114.0,Rasbora trilineata,Cá Lòng tong đuôi kéo,Scissortail rasbora,Loài,Species,
307,115.0,Mastacembelus circumcinctus,Cá Chạch bông,Banded spiny eel,Loài,Species,
308,115.0,Mastacembelus erythrotaenia,Cá Chạch lửa,Fire eel,Loài,Species,
309,115.0,Mastacembelus favus,Cá Chạch lấu,Tire track eel / Zig-zag eel,Loài,Species,
310,115.0,Mastacembelus taeniagaster,Cá Chạch bông,Striped spiny eel,Loài,Species,
311,116.0,Chitala ornata,Cá Còm,Clown featherback / Clown knifefish,Loài,Species,
312,116.0,Notopterus notopterus,Cá Thát lát,Bronze featherback,Loài,Species,
313,117.0,Channa lucius,Cá Dầy,Splendid snakehead / Forest snakehead,Loài,Species,
314,117.0,Channa striata,Cá Lóc,Striped snakehead / Common snakehead,Loài,Species,
315,117.0,Ophicephalus micropeltes,Cá Lóc bông,Giant snakehead / Red snakehead,Loài,Species,
316,118.0,Betta splendens,Cá Lia thia xiêm,Siamese fighting fish,Loài,Species,
317,118.0,Betta taeniata,Cá Lia thia,Banded betta,Loài,Species,
318,118.0,Trichopodus microlepis,Cá Sặc điệp,Moonlight gourami,Loài,Species,
319,118.0,Trichopodus pectoralis,Cá Sặc rằn,Snakeskin gourami,Loài,Species,
320,118.0,Trichopodus trichopterus,Cá Sặc bướm,Three-spot gourami / Blue gourami,Loài,Species,
321,118.0,Trichopsis vittata,Cá Bã trầu,Croaking gourami,Loài,Species,
322,119.0,Pristolepis fasciata,Cá Rô biển,Malayan leaffish,Loài,Species,
323,120.0,Micronema moorei,Cá Trèn mỡ,Moore's catfish,Loài,Species,
324,120.0,Kryptopterus sp.,Cá Trèn lá,Glass catfish,Loài,Species,
325,120.0,Ompok bimaculatus,Cá Trèn bầu,Butter catfish,Loài,Species,
326,120.0,Ompok hypophthalmus,Cá Trèn ống,Asian glass catfish,Loài,Species,
327,121.0,Monopterus albus,Lươn đồng,Asian swamp eel / Rice eel,Loài,Species,
328,122.0,Dermogenys pusillus,Lìm kìm ao,Wrestling halfbeak,Loài,Species,
329,122.0,Zenarchopterus clarus,Lìm kìm,Feathered river garfish,Loài,Species,
330,122.0,Zenarchopterus ectuntio,Lìm kìm sông,Estuarine halfbeak,Loài,Species,
331,122.0,Zenarchopterus pappenheimi,Lìm kìm,Pappenheim's halfbeak,Loài,Species,
332,,Magnoliopsida,Hai lá mầm,,Lớp,Class,
333,,Liliopsida,Một lá mầm,,Lớp,Class,
334,,Polypodiopsida,Ráng đa túc,,Lớp,Class,
335,332.0,Cucurbitales,Bầu bí,,Bộ,Order,
336,334.0,Salviniales,Bèo ong,,Bộ,Order,
337,334.0,Schizaeales,Bòng bong,,Bộ,Order,
338,332.0,Solanales,Cà,,Bộ,Order,
339,332.0,Brassicales,Cải,,Bộ,Order,
340,332.0,Sapindales,Cam,,Bộ,Order,
341,332.0,Malvales,Cẩm quỳ,,Bộ,Order,
342,333.0,Arecales,Cau,,Bộ,Order,
343,333.0,Poales,Cói,,Bộ,Order,
344,332.0,Asterales,Cúc,,Bộ,Order,
345,332.0,Oxalidales,Đào bì,,Bộ,Order,
346,332.0,Myrtales,Đào kim nương,,Bộ,Order,
347,332.0,Fabales,Đậu,,Bộ,Order,
